,Site Name,Article Name,Article Date,Total Article Comments,Article URL,Username,Comments,Responding to,Upvotes,Downvotes,Hate?,
0,The Gateway Pundit,FOX News Anchor Harris Faulkner Apologizes for Shutting Down Newt Ging…,['2020/09'],665 comments,https://www.thegatewaypundit.com/2020/09/fox-news-anchor-harris-faulkner-apologizes-shutting-newt-gingrichs-criticism-george-soros-funded-lawless-prosecutors/,Acaciavet,Another ignorant crow,,0,0,2,
1,The Gateway Pundit,Building Owner Pulls Out of Contract on Minneapolis Police Precinct Location aft…,['2020/09'],150 comments,https://www.thegatewaypundit.com/2020/09/building-owner-pulls-contract-minneapolis-police-precinct-location-black-lives-matter-thugs-vandalize-building-threaten-home/,Acaciavet,Start kiliing the bastardss,,1,?,1,
2,The Gateway Pundit,REPORT: Attorney General Bill Barr Told Federal Prosecutors to Charge Violent Ri…,['2020/09'],301 comments,https://www.thegatewaypundit.com/2020/09/report-attorney-general-bill-barr-told-federal-prosecutors-charge-violent-rioters-sedition/,Acaciavet,Start sending Zulus to Gitmo,,1,?,1,
3,The Gateway Pundit,Squad Member and Crackpot Ayanna Pressley Wants to Declare Racism a Nati…,['2020/09'],324 comments,https://www.thegatewaypundit.com/2020/09/squad-member-crackpot-ayanna-pressley-wants-declare-racism-national-emergency-based-statistical-nonsense-video/,Acaciavet,Bald Headed black Charlie Uniform November Tango,,4,?,2,?
4,The Gateway Pundit,Leftist Wearing Trump Mask at Philly Protest Stands in Front of Trump Suppor…,['2020/09'],286 comments,https://www.thegatewaypundit.com/2020/09/leftist-wearing-trump-mask-philly-protest-stands-front-trump-supporters-runs-american-flag-inside-underwear-video/,Acaciavet,Another MENSA crow I see,,1,?,2,
5,The Gateway Pundit,TWO YEARS IN JAIL? Bill Would Make Not Wearing Mask A Misdemeanor In Pennsyl…,['2020/09'],330 comments,https://www.thegatewaypundit.com/2020/09/two-years-jail-bill-make-not-wearing-mask-misdemeanor-pennsylvania/,Acaciavet,Kiss my Asssssssss you Nazi Prk,,5,?,1,
6,The Gateway Pundit,"Who's the Boss? Kamala Harris Speaks About a ""Harris Administration"" in Virtu…",['2020/09'],325 comments,https://www.thegatewaypundit.com/2020/09/boss-kamala-harris-speaks-harris-administration-virtual-arizona-speech/,Acaciavet,Foxtrot Uniform Charlie Kilo this Twatttt,,0,0,2,?
7,The Gateway Pundit,Black Lives Matter Protesters Injured Surfing Cop Car and Blocking Traffic Nea…,['2020/09'],418 comments,https://www.thegatewaypundit.com/2020/09/black-lives-matter-protesters-injured-surfing-cop-car-blocking-traffic-near-site-president-trump-sacramento-visit-video/,Acaciavet,Foxtrot Uniform Charlie Kilo all Zulu A Holes,,1,?,1,
8,The Gateway Pundit,"PURE EVIL: Bystanders Laugh, Mock Deputies including 31-Year-Old Mother A…",['2020/09'],988 comments,https://www.thegatewaypundit.com/2020/09/pure-evil-bystanders-laugh-mock-deputies-including-31-year-old-mother-ambushed-shot-head-no-one-runs-help/,Acaciavet,I see you are an Uneducated crow with a Antifa profile. I am single so I bang other peoples wives. Is yours available. One of the best sales manager I ver worked for was Black how about you Sally?,Antonio,0,0,2,
9,The Gateway Pundit,"PURE EVIL: Bystanders Laugh, Mock Deputies including 31-Year-Old Mother A…",['2020/09'],988 comments,https://www.thegatewaypundit.com/2020/09/pure-evil-bystanders-laugh-mock-deputies-including-31-year-old-mother-ambushed-shot-head-no-one-runs-help/,Acaciavet,"I know a lot of Black People,These clowns are not black they are uneducated crows.",,2,1,2,
