,Site Name,Article Name,Article Date,Total Article Comments,Article URL,Username,Comments,Hate?,Flag?,Responding to,Upvotes,Downvotes
0,Townhall,Another October Surprise Executed Early? Timing of Liberal Media's New COVID Pa…,['2020/09/09'],424 comments,https://townhall.com/tipsheet/mattvespa/2020/09/09/another-october-surprise-executed-early-timing-of-liberal-medias-new-covid-pani-n2575913,DSMike,Hope...hate...same thing to a progressive fascist.,2,,Phil Ken Sebben,0,0
1,Townhall,Another October Surprise Executed Early? Timing of Liberal Media's New COVID Pa…,['2020/09/09'],424 comments,https://townhall.com/tipsheet/mattvespa/2020/09/09/another-october-surprise-executed-early-timing-of-liberal-medias-new-covid-pani-n2575913,DSMike,Will this piece of human excrement stick to the orange man bad wall?  Th evil left propaganda machine is on high alert.,2,?,,7,?
2,Townhall,They're Panicking: 'The View' Co-Host Wants Electoral College Change Because…,['2020/09/09'],761 comments,https://townhall.com/tipsheet/mattvespa/2020/09/09/theyre-panicking-the-view-host-wants-electoral-college-change-because-trump-might-pull-off-a-win-n2575872,DSMike,Sure...that could happen and I see your point but the sword is double edged...both sides would lose and we would end up in teh same spot we are in.,0,,Bumbu,0,0
3,Townhall,They're Panicking: 'The View' Co-Host Wants Electoral College Change Because…,['2020/09/09'],761 comments,https://townhall.com/tipsheet/mattvespa/2020/09/09/theyre-panicking-the-view-host-wants-electoral-college-change-because-trump-might-pull-off-a-win-n2575872,DSMike,"Ahhh...I see just another goose stepping troll, droning for your masters.",0,?,Fred Barstool,0,0
4,Townhall,They're Panicking: 'The View' Co-Host Wants Electoral College Change Because…,['2020/09/09'],761 comments,https://townhall.com/tipsheet/mattvespa/2020/09/09/theyre-panicking-the-view-host-wants-electoral-college-change-because-trump-might-pull-off-a-win-n2575872,DSMike,"Actually those states did not exists as of yet...the main states that wanted it were the NE states against NY and Pennsylvania that had most of the population.  I did not say it was a scam...instead of whining about it, spearhead a constitutional convention to get it changed...if it is unpopular as you say it is then it should be quite easy to change it.",0,,Lefty,0,0
5,Townhall,They're Panicking: 'The View' Co-Host Wants Electoral College Change Because…,['2020/09/09'],761 comments,https://townhall.com/tipsheet/mattvespa/2020/09/09/theyre-panicking-the-view-host-wants-electoral-college-change-because-trump-might-pull-off-a-win-n2575872,DSMike,"Actually there were many people who said the opposite, actually a much higher number than said he did...if we are to go by a preponderance of evidence.",0,,Fred Barstool,0,0
6,Townhall,They're Panicking: 'The View' Co-Host Wants Electoral College Change Because…,['2020/09/09'],761 comments,https://townhall.com/tipsheet/mattvespa/2020/09/09/theyre-panicking-the-view-host-wants-electoral-college-change-because-trump-might-pull-off-a-win-n2575872,DSMike,"You said it was confirmed...not the same as innuendo, where he might have said those things and might not have...if you have a degree you need to give it back.",0,,Fred Barstool,1,?
7,Townhall,They're Panicking: 'The View' Co-Host Wants Electoral College Change Because…,['2020/09/09'],761 comments,https://townhall.com/tipsheet/mattvespa/2020/09/09/theyre-panicking-the-view-host-wants-electoral-college-change-because-trump-might-pull-off-a-win-n2575872,DSMike,No it actually had to do with more populous states running over the will of less populated states.,0,,Lefty,0,0
8,Townhall,They're Panicking: 'The View' Co-Host Wants Electoral College Change Because…,['2020/09/09'],761 comments,https://townhall.com/tipsheet/mattvespa/2020/09/09/theyre-panicking-the-view-host-wants-electoral-college-change-because-trump-might-pull-off-a-win-n2575872,DSMike,You need to look up the definition of confirmed...it does not mean what you think it means...the word you are looking for is innuendo.,0,,Fred Barstool,1,?
9,Townhall,They're Panicking: 'The View' Co-Host Wants Electoral College Change Because…,['2020/09/09'],761 comments,https://townhall.com/tipsheet/mattvespa/2020/09/09/theyre-panicking-the-view-host-wants-electoral-college-change-because-trump-might-pull-off-a-win-n2575872,DSMike,Get it changed...if it is unpopular as you say then it should be easy for you to get the constitutional change needed to do so...get to work instead of whining.,0,,Bumbu,2,?
10,Townhall,They're Panicking: 'The View' Co-Host Wants Electoral College Change Because…,['2020/09/09'],761 comments,https://townhall.com/tipsheet/mattvespa/2020/09/09/theyre-panicking-the-view-host-wants-electoral-college-change-because-trump-might-pull-off-a-win-n2575872,DSMike,It never has been relevant.,0,,NEVERLOST123,2,?
