,Site Name,Article Name,Article Date,Total Article Comments,Article URL,Username,Comments,Responding to,Upvotes,Downvotes,Ordinary/Hate/Offensive?,
0,Breitbart News Network,Jerry Brown Mocks People Who Want to Leave California: ‘Where Are You Going t…,['2020/09/15'],1399 comments,https://www.breitbart.com/politics/2020/09/15/jerry-brown-mocks-people-who-want-to-leave-california-where-are-you-going-to-go/,Dr. Vinnie,C'mon man!,,1,?,0,
1,Breitbart News Network,Jerry Brown Mocks People Who Want to Leave California: ‘Where Are You Going t…,['2020/09/15'],1399 comments,https://www.breitbart.com/politics/2020/09/15/jerry-brown-mocks-people-who-want-to-leave-california-where-are-you-going-to-go/,Dr. Vinnie,Cornpop was a bad dude.,,2,?,2,
2,Breitbart News Network,Jerry Brown Mocks People Who Want to Leave California: ‘Where Are You Going t…,['2020/09/15'],1399 comments,https://www.breitbart.com/politics/2020/09/15/jerry-brown-mocks-people-who-want-to-leave-california-where-are-you-going-to-go/,Dr. Vinnie,"""What difference at this point does it make?""",,2,?,0,
3,Breitbart News Network,Jerry Brown Mocks People Who Want to Leave California: ‘Where Are You Going t…,['2020/09/15'],1399 comments,https://www.breitbart.com/politics/2020/09/15/jerry-brown-mocks-people-who-want-to-leave-california-where-are-you-going-to-go/,Dr. Vinnie,"""How's Trump going to bring back those jobs?  Does he have a magic wand?""",,0,0,0,?
4,Breitbart News Network,Jerry Brown Mocks People Who Want to Leave California: ‘Where Are You Going t…,['2020/09/15'],1399 comments,https://www.breitbart.com/politics/2020/09/15/jerry-brown-mocks-people-who-want-to-leave-california-where-are-you-going-to-go/,Dr. Vinnie,You didn't build that.,,1,?,0,
5,The Gateway Pundit,"NOT CLIMATE CHANGE: Arsonist Caught on Video Starting Brush Fire in Kelso, Washi…",['2020/09'],142 comments,https://www.thegatewaypundit.com/2020/09/not-climate-change-arsonist-caught-video-starting-brush-fire-kelso-washington/,Dr. Vinnie,Don't you at least need clouds for lightening?,mblack,0,0,0,
6,The Gateway Pundit,"NOT CLIMATE CHANGE: Arsonist Caught on Video Starting Brush Fire in Kelso, Washi…",['2020/09'],142 comments,https://www.thegatewaypundit.com/2020/09/not-climate-change-arsonist-caught-video-starting-brush-fire-kelso-washington/,Dr. Vinnie,Does she think people are not capable of starting fires?  How does lightening strike without rain?,Jean A.,0,0,0,
7,The Gateway Pundit,"NOT CLIMATE CHANGE: Arsonist Caught on Video Starting Brush Fire in Kelso, Washi…",['2020/09'],142 comments,https://www.thegatewaypundit.com/2020/09/not-climate-change-arsonist-caught-video-starting-brush-fire-kelso-washington/,Dr. Vinnie,Looked like a messican.,,1,?,0,
8,The Gateway Pundit,Black Lives Matter Founder Admits to Not Just Marxist Beliefs but Occultist Practices,['2020/09'],351 comments,https://www.thegatewaypundit.com/2020/09/black-lives-matter-founder-admits-not-just-marxist-beliefs-occultist-practices/,Dr. Vinnie,Voodoo,,4,?,0,
9,The Gateway Pundit,Joe Rogan Offers to Moderate Trump-Biden Debate -- President Trump Accepts the In…,['2020/09'],130 comments,https://www.thegatewaypundit.com/2020/09/joe-rogan-offers-moderate-trump-biden-debate-president-trump-accepts-invite/,Dr. Vinnie,They will say Joe has covid so he doesn't have to debate Trump.,,0,0,0,
