,Site Name,Article Name,Article Date,Total Article Comments,Article URL,Username,Comments,Responding to,Upvotes,Downvotes,Ordinary/Hate/Offensive?,
0,The Gateway Pundit,HEARTBREAKING: LA Police Release “Help Call” of Courageous Female Deputy After…,['2020/09'],222 comments,https://www.thegatewaypundit.com/2020/09/heartbreaking-la-police-release-help-call-courageous-female-deputy-shot-jaw-saved-partner/,Feel Lucky?,These Leftist politicians instructed them to do violence.Maxine Waters by name.She told them to push back against Trump supporters out of her hate for Trump and the American people.Obama also did so and would not denounce it.These thugs will now pay dearly for these acts.God bless these officers and America.,Spike Springer,0,0,2,
1,Vidmax,"BLM Thugs Threaten Man Live Streaming, Say They Don't Want Police To Track The…",[],5 comments,https://vidmax.com/video/198353-blm-thugs-threaten-man-live-streaming-say-they-don-t-want-police-to-track-their-movements,Feel Lucky?,When did these punks ever need a reason to attack anyone?,,3,?,2,
2,Vidmax,Two High School Football Players Suspended INDEFINITELY For Carrying P…,[],16 comments,https://vidmax.com/video/198358-two-high-school-football-players-suspended-indefinitely-for-carrying-pro-police-and-firefighter-flags-onto-field-on-9-11,Feel Lucky?,You go guys.There are more people behind you than agin you.,,8,?,0,
3,Vidmax,Brutal Gang Shootout In Louisiana Leaves A 2 Year Old Shot,[],10 comments,https://vidmax.com/video/198352-brutal-gang-shootout-in-louisiana-leaves-a-2-year-old-shot,Feel Lucky?,They hold their guns sideways because that's the way they came out of the box.,Crippled by UK State goons,2,?,2,
4,Vidmax,Body-Cam Footage Shows The Terrifying Moment Two Tulsa Cops Are Shot By Sus…,[],18 comments,https://vidmax.com/video/198341-body-cam-footage-shows-the-terrifying-moment-two-tulsa-cops-are-shot-by-suspect-one-officer-murdered,Feel Lucky?,"Control.Hands....feet...body..mindAll this bullshit is soon to stop.As much as it sucks,martial law is coming with the Insurrection Act and posse commitatus.Try your bullshit then.I follow rules,have my guns and permits legally and I'm white.FUCK YOU PIGGY WIGGYS. and we know YOU BOUGHT THE TICKET. who you fuckers YOU TAKE THE RIDE. are,we got you on tapeTRUMP GOD 2020 AND BEYOND",,1,?,2,
5,Vidmax,Clackamas Sheriff’s Captain informs Board of Commissioners of Antifa Setting Up G…,[],5 comments,https://vidmax.com/video/198338-clackamas-sheriff-s-captain-informs-board-of-commissioners-of-antifa-setting-up-gas-cans-along-highwire-chainsaws-to-cut-down-telephone-poles,Feel Lucky?,They already have you ignorant fuck.Fox news and CNN won't tell you the truth.Your brother Rachal Madcow was laughing about them doing it and how they were unstoppable.THEY'LL BE STOPPED.....DEAD,Wigga Pigga Mockery,4,?,2,
6,Vidmax,Young Dude Confesses To A Crime To A Cop That Wasn't Even There For Him,[],5 comments,https://vidmax.com/video/198340-young-dude-confesses-to-a-crime-to-a-cop-that-wasn-t-even-there-for-him,Feel Lucky?,You only bang your gums together you weak fuck.Running your dicksucker is what you do 24/7,Wigga Pigga Mockery,3,?,2,
7,Vidmax,Why Is This Monster Not In Jail? Leader Of Afrika Town Coalition Celebrates LA Sher…,[],10 comments,https://vidmax.com/video/198345-why-is-this-monster-not-in-jail-leader-of-afrika-town-coalition-celebrates-la-sheriffs-assassinated-hope-it-s-just-the-start,Feel Lucky?,This dumb fucker trying to read his speach?wtfThese ignorants have no idea where they are in relation to the rest of the world they have no concept that there are oceans separating the continents.Ignorants.,Kill All Fergals,2,?,2,
8,Vidmax,"Mob Of Youths Assault, Knock Out And Rob Husband And Wife, Then Assault Daught…",[],17 comments,https://vidmax.com/video/198349-mob-of-youths-assault-knock-out-and-rob-husband-and-wife-then-assault-daughter-for-complaining-about-it,Feel Lucky?,Get it while you can coons.Trump is gonna bring the pain soon....And he'll let us off î leash and deputise us ex service members and CCW holders.In '92 it was invoked and the Marines and Koreans in L.A.they shot soo many tioting and looting coons that they had mass funerals for the ferals.,,5,?,1,
9,Vidmax,"Mob Of Youths Assault, Knock Out And Rob Husband And Wife, Then Assault Daught…",[],17 comments,https://vidmax.com/video/198349-mob-of-youths-assault-knock-out-and-rob-husband-and-wife-then-assault-daughter-for-complaining-about-it,Feel Lucky?,YessirSee above.Trump will invoke the Insurrection Act.It will be epic.,work sam,5,?,2,
10,Vidmax,Wait....WTF Did Kamala Harris Just Say?,[],12 comments,https://vidmax.com/video/198342-wait-wtf-did-kamala-harris-just-say,Feel Lucky?,The plan all along was to 25th Amendment Bidens ass.They'll just take the amphetamines and sun-downing drugs and he'll fade away on camera right on cue.KAG TRUMP NOVEMBER 2020,,5,?,2,
11,Vidmax,You've Heard About The Controversial Netflix Show Cuties....Oh It's Far More E…,[],69 comments,https://vidmax.com/video/198273-you-ve-heard-about-the-controversial-netflix-show-cuties-oh-it-s-far-more-epstein-than-you-imagine,Feel Lucky?,Deflection just makes you look desperate and even  more stupid you idiot.Look up Dunning-Kruger effect.,Wigga Pigga Mockery,0,0,2,
