,Site Name,Article Name,Article Date,Total Article Comments,Article URL,Username,Comments,Hate?,Flag??,Responding to,Upvotes,Downvotes
0,American Renaissance,Why I Am Voting for Joe Biden,['2020/09'],401 comments,https://www.amren.com/blog/2020/09/why-i-am-voting-for-joe-biden/,HT,You are missing the point.  Of course he didn't believe those things but YOU DO based on who you plan to vote for.,0,,JohnEngelman,0,0
1,American Renaissance,Why I Am Voting for Joe Biden,['2020/09'],401 comments,https://www.amren.com/blog/2020/09/why-i-am-voting-for-joe-biden/,HT,What the graphs actually prove is that Democrats actually did the damage that you want to attribute to Republicans.  What was debunked is your dishonest spin of what the graphs actually say.,2,,JohnEngelman,0,0
2,American Renaissance,Why I Am Voting for Joe Biden,['2020/09'],401 comments,https://www.amren.com/blog/2020/09/why-i-am-voting-for-joe-biden/,HT,"Rushton supported black reparations, defunding police, black victimhood, white demonization, socialism, open borders, diversity, multiculturalism, and everything else that the Democrats stand for that will destroy white civilization?  Can you link that please?",1,?,JohnEngelman,1,?
3,American Renaissance,Why I Am Voting for Joe Biden,['2020/09'],401 comments,https://www.amren.com/blog/2020/09/why-i-am-voting-for-joe-biden/,HT,What was debunked was your conclusions and interpretations.,0,,JohnEngelman,0,0
4,American Renaissance,Why I Am Voting for Joe Biden,['2020/09'],401 comments,https://www.amren.com/blog/2020/09/why-i-am-voting-for-joe-biden/,HT,"There were a staggering number of defects related to employee failure.  As I said, it was impossible to discipline bad employees.  Were the US cars behind Japan in terms of design and technology?  Sure but the shoddy build quality was often due to lazy and incompetent labor.",2,,JohnEngelman,0,0
5,American Renaissance,Why I Am Voting for Joe Biden,['2020/09'],401 comments,https://www.amren.com/blog/2020/09/why-i-am-voting-for-joe-biden/,HT,I want it to be consistent with their goals and positions and not give cover and support to white hating politicians and their parties.  Your political views are completely incompatible with white advocacy and race realism.,2,,JohnEngelman,0,0
6,American Renaissance,Why I Am Voting for Joe Biden,['2020/09'],401 comments,https://www.amren.com/blog/2020/09/why-i-am-voting-for-joe-biden/,HT,The problem with labor unions was that they became too powerful and companies were at their mercy.  Remember the poor build quality of American cars in the early '70's?  Union employees could literally show up for work drunk and stoned and could not be fired.  I know this happened.  That is why Japanese car sales exploded.  People wanted quality vehicles.  Unions destroyed themselves by over playing their hand and looking out more for the union than their industry.,0,,Walter Rogers,1,1
7,American Renaissance,Why I Am Voting for Joe Biden,['2020/09'],401 comments,https://www.amren.com/blog/2020/09/why-i-am-voting-for-joe-biden/,HT,That is the million dollar question.,0,,Luca Brasi,0,0
8,American Renaissance,Kangaroo Justice in South Africa,['2020/09'],126 comments,https://www.amren.com/features/2020/09/kangaroo-justice-in-south-africa/,HT,Wakanda.,0,,HannahKatz,0,0
9,American Renaissance,Whence the Hispanics?,['2020/09'],18 comments,https://www.amren.com/news/2020/09/whence-the-hispanics/,HT,How sad is it that some South American countries like Chile and Argentina probably have a larger white population than the USA?  These are places to consider moving to as America crumbles with blacks being worshiped and allowed to do as they please.,1,,Samuel Hathaway,1,?
