,Site Name,Article Name,Article Date,Total Article Comments,Article URL,Username,Comments,Hate?,Flag???,Responding to,Upvotes,Downvotes
0,cosmicbook.news,Supergirl Canceled At The CW,[],42 comments,https://cosmicbook.news/supergirl-canceled-cw,Reese Witheredpoon,The show got SO bad SO fast.,2,,,3,1
1,The Gateway Pundit,EXCLUSIVE: BLM Communist Who Pointed a Gun at Random Drivers in Louisville Id…,['2020/09'],219 comments,https://www.thegatewaypundit.com/2020/09/exclusive-blm-communist-pointed-gun-random-drivers-louisville-identified-linked-soros-funded-organization/,Reese Witheredpoon,The fat ones are the angriest.,2,,,3,?
2,The Gateway Pundit,"BREAKING: $15,000 Reward Offered For Gunman Who Shot at Cops In Delaware",['2020/09'],127 comments,https://www.thegatewaypundit.com/2020/09/breaking-15000-reward-offered-gunman-shot-cops-delaware/,Reese Witheredpoon,He goes by the alias Reggin Loof.,1,,,1,?
3,The Gateway Pundit,Unhinged Quebec Woman Pascale Ferrier Identified as Suspect in Case of Ricin Let…,['2020/09'],1524 comments,https://www.thegatewaypundit.com/2020/09/unhinged-quebec-woman-pascale-ferrier-identified-suspect-case-ricin-letter-sent-trump-white-house/,Reese Witheredpoon,"Oh my, she's so beautiful.",0,,,1,?
4,Breitbart News Network,Seattle Hires Convicted Pimp as ‘Street Czar’ to Consult on Police ‘Reform’,['2020/09/22'],1345 comments,https://www.breitbart.com/politics/2020/09/22/seattle-hires-convicted-pimp-as-street-czar-to-consult-on-police-reform/,Reese Witheredpoon,This should entice people to move to Seattle.,0,,,0,0
5,Breitbart News Network,"Cynthia Nixon Claims Trump, Coronavirus Exposed ‘Retrograde’ White Supremacy i…",['2020/09/22'],2017 comments,https://www.breitbart.com/entertainment/2020/09/22/cynthia-nixon-claims-trump-coronavirus-exposed-retrograde-white-supremacy-in-america/,Reese Witheredpoon,This lesbian slob again?,2,,,0,0
6,The Daily Wire,"Even With Lockdowns, Emmys Post Lowest Ratings Ever",[],122 comments,https://www.dailywire.com/news/even-with-lockdowns-emmys-post-lowest-ratings-ever,Reese Witheredpoon,Blackface Kimmel got his comeuppance.,0,,,0,0
7,Breitbart News Network,"Ilhan Omar: Hate for Me Is ‘Anti-Muslim, Anti-Immigrant, Anti-Black, Sexist’",['2020/09/21'],4431 comments,https://www.breitbart.com/politics/2020/09/21/ilhan-omar-hate-for-me-is-anti-muslim-anti-immigrant-anti-black-sexist/,Reese Witheredpoon,"Nope, just anti-scumbag.",0,,,3,?
8,The Gateway Pundit,“They Forced This United States’ Veteran to Crawl. They Even All Stood By and Wa…,['2020/09'],509 comments,https://www.thegatewaypundit.com/2020/09/forced-united-states-veteran-crawl-even-stood-watched-crawled/,Reese Witheredpoon,Just start the civil war already. I want to end some Liberals.,1,,,3,?
9,cosmicbook.news,The Suicide Squad 'Like heavily R-rated' Says Joel Kinnaman,[],22 comments,https://cosmicbook.news/suicide-squad-r-rated-joel-kinnaman,Reese Witheredpoon,"Is Cena playing Bulletman, the last 12 inch GI Joe figure from the 1970's??",0,,,0,0
10,The Gateway Pundit,Breaking: Suspect in Custody for Sending Ricin Poison to President Trump,['2020/09'],434 comments,https://www.thegatewaypundit.com/2020/09/breaking-suspect-custody-sending-ricin-poison-president-trump/,Reese Witheredpoon,"Oh boy, Justin Trudeau's wife is in trouble now.",0,,,6,?
11,Breitbart News Network,Michael Moore Calls on Americans to Get ‘Out in the Streets’ over SCOTUS Pick —…,['2020/09/20'],1803 comments,https://www.breitbart.com/clips/2020/09/20/michael-moore-calls-on-americans-to-get-out-in-the-streets-over-scotus-pick-be-ruthless/,Reese Witheredpoon,It's time to arrest Osama Pork Larden.,0,,,4,?
