,Site Name,Article Name,Article Date,Total Article Comments,Article URL,Username,Comments,Responding to,Upvotes,Downvotes
0,Breitbart News Network,"Watch: Donna Brazile, Matt Schlapp over Trump’s Attacks on Biden’s Faith",['2020/08/07'],11 comments,https://www.breitbart.com/clips/2020/08/07/watch-donna-brazile-matt-schlapp-over-trumps-attacks-on-bidens-faith/,✦ Björn Free ✦,More  Manufactured Obama/Brazile DNC bullkrap! ,,1,?
1,Breitbart News Network,Harry Reid on Trump’s Mental State: ‘There’s Something Wrong’ — He’s ‘Getti…,['2020/08/07'],35 comments,https://www.breitbart.com/clips/2020/08/07/harry-reid-on-trumps-mental-state-theres-something-wrong-hes-getting-worse/,✦ Björn Free ✦,"THE DNC is mentally, ethically, Spiritually, and Constitutionally DECLINING.........Joe Biden IS definitely YOUR GUY!!!",,3,?
2,Breitbart News Network,Louie Gohmert: ‘Trump Derangement Syndrome’ Is Reason Leftist Big Tech Co…,['2020/08/07'],12 comments,https://www.breitbart.com/politics/2020/08/07/louie-gohmert-trump-derangement-syndrome-reason-leftist-big-tech-companies-censor-breitbart-news/,✦ Björn Free ✦,Gates in tandem with doctah Fauci ......are working on their BILLION-$ Kung-Flu Solution.,hey gee,0,0
3,Breitbart News Network,Louie Gohmert: ‘Trump Derangement Syndrome’ Is Reason Leftist Big Tech Co…,['2020/08/07'],12 comments,https://www.breitbart.com/politics/2020/08/07/louie-gohmert-trump-derangement-syndrome-reason-leftist-big-tech-companies-censor-breitbart-news/,✦ Björn Free ✦,"The POWAH of DEEP STATE & NWO is the Reason, Bunkies.",,7,?
4,The Gateway Pundit,"Huh? Chuck Schumer Changes Mind, Now Says Schools Must Reopen - It Must Be th…",['2020/08'],188 comments,https://www.thegatewaypundit.com/2020/08/huh-chuck-schumer-changes-mind-now-says-schools-must-reopen-must-poll-shows-80-voters-want-schools-open/,✦ Björn Free ✦,"DEMOCRAT PLOT ALERT Open schools in August.....in the heat of the election cycle,......THEN switch in October.....Declare Trump's school Policy Failed....and schools must be closed to protect America!...bla, bla, bla",,2,?
5,Breitbart News Network,Downward Trend in Daily Coronavirus Case Growth Continues,['2020/08/07'],95 comments,https://www.breitbart.com/politics/2020/08/07/downward-trend-daily-coronavirus-case-growth-continues/,✦ Björn Free ✦,UT-OH! This is not good for Fauci......he could lose millions on his conflict-of-interest vaccine collusion!,,10,?
6,Breitbart News Network,Plaudits Flow as Top Figure in Modern Judaism Dies in Israel,['2020/08/07'],34 comments,https://www.breitbart.com/middle-east/2020/08/07/plaudits-flow-as-top-figure-in-modern-judaism-dies-in-israel/,✦ Björn Free ✦,I pray and cite Genesis 12:3 often with specific citation.Great passage. Thank you for adding Numbers 24:9..I pray continually Psalm 122:6..Keep Looking UP!,ConLawyerII,3,?
7,Breitbart News Network,Plaudits Flow as Top Figure in Modern Judaism Dies in Israel,['2020/08/07'],34 comments,https://www.breitbart.com/middle-east/2020/08/07/plaudits-flow-as-top-figure-in-modern-judaism-dies-in-israel/,✦ Björn Free ✦,You as well. I so profoundly love Israel and Jews......my eyes are welling up in tears as I write you. I cannot discuss the topic without choking up and breaking down. It pierces my heart..My Messiah was a Jewish carpenter.,i__Cry,10,?
8,Breitbart News Network,Plaudits Flow as Top Figure in Modern Judaism Dies in Israel,['2020/08/07'],34 comments,https://www.breitbart.com/middle-east/2020/08/07/plaudits-flow-as-top-figure-in-modern-judaism-dies-in-israel/,✦ Björn Free ✦,Thank you. It is easy to see how the Koine Greek would add more texture and less ambiguity to the reading of Scripture..Keep Looking UP!,i__Cry,7,?
9,Breitbart News Network,Plaudits Flow as Top Figure in Modern Judaism Dies in Israel,['2020/08/07'],34 comments,https://www.breitbart.com/middle-east/2020/08/07/plaudits-flow-as-top-figure-in-modern-judaism-dies-in-israel/,✦ Björn Free ✦,"That sounds more like it. It comports with my reading yesterday - in the Book of Ezra, where the Aramaic was translated into Cyrus' language..Thank you for the clarification! I couldn't believe I was that far off target.Remind me; Hebrew is all consonants? One of the things which fascinates me is that the Septuagint, with a fuller alphabet of vowels and consonants from which to transcribe, would naturally provide an expanded understanding of the texts, and it was transcribed by Jewish scribes which make it wonderful..What a blessing to understand Hebrew!",i__Cry,7,?
