,Site Name,Article Name,Article Date,Total Article Comments,Article URL,Username,Comments,Hate?,Flag??,Responding to,Upvotes,Downvotes,Ordinary/Hate/Offensive,
0,Twitchy,Adam Baldwin and Kurt Schlichter throw cold water on Patton Oswalt’s plan to arrest President Trump over comments he made to Bob Woodward,['2020/09/10'],132 comments,https://twitchy.com/gregp-3534/2020/09/10/adam-baldwin-and-kurt-schlichter-throw-cold-water-on-patton-oswalts-plan-to-arrest-president-trump-over-comments-he-made-to-bob-woodward/,"MAGADeplorable, too",He says I got a death wish,0,,CrushAllDems,1,1,0,
1,Twitchy,Adam Baldwin and Kurt Schlichter throw cold water on Patton Oswalt’s plan to arrest President Trump over comments he made to Bob Woodward,['2020/09/10'],132 comments,https://twitchy.com/gregp-3534/2020/09/10/adam-baldwin-and-kurt-schlichter-throw-cold-water-on-patton-oswalts-plan-to-arrest-president-trump-over-comments-he-made-to-bob-woodward/,"MAGADeplorable, too",If I met something like Patent Azzewhip on the battlefield I would drop my weapon just to bee-atch slap the little imp,2,,,1,?,2,
2,Townhall,WATCH: Why 'The View' Co-Host Dubs Black Trump Supporters as 'Props',['2020/09/09'],323 comments,https://townhall.com/tipsheet/bethbaumann/2020/09/09/watch-why-the-view-cohost-dubs-black-trump-supporters-as-props-n2575949,"MAGADeplorable, too",They got's their 98 acre plot in Georgia where that new whatever will proclaim no whites allowed,2,,Visualverbs,2,?,2,?
3,Townhall,WATCH: Why 'The View' Co-Host Dubs Black Trump Supporters as 'Props',['2020/09/09'],323 comments,https://townhall.com/tipsheet/bethbaumann/2020/09/09/watch-why-the-view-cohost-dubs-black-trump-supporters-as-props-n2575949,"MAGADeplorable, too",Hostin is another self hating bigot who thinks her lighter skin makes her a superior mixed race imbecile,1,,,4,?,1,?
4,Townhall,WATCH: Why 'The View' Co-Host Dubs Black Trump Supporters as 'Props',['2020/09/09'],323 comments,https://townhall.com/tipsheet/bethbaumann/2020/09/09/watch-why-the-view-cohost-dubs-black-trump-supporters-as-props-n2575949,"MAGADeplorable, too","Hostin, like the kenyan hates her white heritage",2,,,1,?,2,?
5,Townhall,WATCH: Why 'The View' Co-Host Dubs Black Trump Supporters as 'Props',['2020/09/09'],323 comments,https://townhall.com/tipsheet/bethbaumann/2020/09/09/watch-why-the-view-cohost-dubs-black-trump-supporters-as-props-n2575949,"MAGADeplorable, too",Ongoing proof there is no intelligent life from the over privileged wealthy twits on The View,2,,,3,?,2,
6,Hot Air,"BLM war on Kelly Loeffler escalates - Sell shares in WNBA team, or else",['2020/09/09'],67 comments,https://hotair.com/archives/karen-townsend/2020/09/09/blm-war-kelly-loeffler-escalates-sell-shares-wnba-team-else/,"MAGADeplorable, too",Ongoing proof that BLM isn't about making lives better for those stuck on the commiecrat handout plantationBut making sure that everything associated with the kneelgro ball leagues is controlled by kneelgro's,1,,,0,0,1,
7,Townhall,"That's Problematic, Prof: Why a College Professor Just Canceled Herself. Hint: It Could Be a Race Hoax Thing.",['2020/09/08'],209 comments,https://townhall.com/tipsheet/mattvespa/2020/09/08/thats-problematic-prof-why-a-college-professor-just-canceled-herself-hint-it-n2575784,"MAGADeplorable, too",The good news being that we can add 2 + 2 = 4,0,,Inland42,1,?,0,
8,Townhall,"That's Problematic, Prof: Why a College Professor Just Canceled Herself. Hint: It Could Be a Race Hoax Thing.",['2020/09/08'],209 comments,https://townhall.com/tipsheet/mattvespa/2020/09/08/thats-problematic-prof-why-a-college-professor-just-canceled-herself-hint-it-n2575784,"MAGADeplorable, too",How many of these self hating woke whites have moved from the burbs to the ghetto inner cities to live with their new heroes?,2,,,2,?,2,
9,Townhall,"That's Problematic, Prof: Why a College Professor Just Canceled Herself. Hint: It Could Be a Race Hoax Thing.",['2020/09/08'],209 comments,https://townhall.com/tipsheet/mattvespa/2020/09/08/thats-problematic-prof-why-a-college-professor-just-canceled-herself-hint-it-n2575784,"MAGADeplorable, too",Asking for a friendHave any of these self hating woke whites explained why they admire blm terrorism?,2,,,0,0,2,
10,Townhall,"That's Problematic, Prof: Why a College Professor Just Canceled Herself. Hint: It Could Be a Race Hoax Thing.",['2020/09/08'],209 comments,https://townhall.com/tipsheet/mattvespa/2020/09/08/thats-problematic-prof-why-a-college-professor-just-canceled-herself-hint-it-n2575784,"MAGADeplorable, too",The new self hating woke white mantraI would rather be ghetto failureThen white success,1,,,6,?,1,
11,Townhall,Kamala Harris to Jacob Blake: 'I'm Proud of You',['2020/09/07'],610 comments,https://townhall.com/tipsheet/reaganmccarthy/2020/09/07/kamala-harris-to-blake-n2575778,"MAGADeplorable, too",Willie Brown's ho is determined to prove she is dumber then Joey B,2,,,4,?,2,
12,Townhall,Kamala Harris to Jacob Blake: 'I'm Proud of You',['2020/09/07'],610 comments,https://townhall.com/tipsheet/reaganmccarthy/2020/09/07/kamala-harris-to-blake-n2575778,"MAGADeplorable, too",Seems willie brown's ho no longer recognizes a dark skinned criminal like she did when she attny gen of commiefornia,1,,,2,?,1,?
13,Townhall,Kamala Harris to Jacob Blake: 'I'm Proud of You',['2020/09/07'],610 comments,https://townhall.com/tipsheet/reaganmccarthy/2020/09/07/kamala-harris-to-blake-n2575778,"MAGADeplorable, too",Seems like willie brown's ho doesn't have handlers who can clue her in she is joey b's latest mistake,2,,,3,?,2,
14,Hot Air,"BLM activists attacking and harassing people in Pittsburgh, police investigating",['2020/09/07'],497 comments,https://hotair.com/archives/john-s-2/2020/09/07/pittsburgh-police-investigating-videos-blm-protesters-attacking-harassing-people-street/,"MAGADeplorable, too",When the race/civil war beginsTarget the woke white trash who are supporting and enabling these terrorists,2,,,0,0,2,
15,Townhall,Anti-Law Enforcement Vandals Deface Michigan GOP's Headquarters,['2020/09/07'],100 comments,https://townhall.com/tipsheet/bethbaumann/2020/09/07/anti-law-enforcement-vandals-deface-michigan-gops-headquarters-n2575766,"MAGADeplorable, too",The only cure for blm/antifa terrorism remains terminal lead poisoning,1,,,3,?,1,
16,Townhall,San Francisco Mayor Goes to Bat for Pelosi: She Had a Really Good Reason to Violate the COVID Orders,['2020/09/06'],456 comments,https://townhall.com/tipsheet/bethbaumann/2020/09/06/san-francisco-mayor-goes-to-bat-for-pelosi-she-had-a-really-good-reason-to-violate-the-covid-orders-n2575750,"MAGADeplorable, too",Some as stupid as London Broil would have never been elected had she been born white,2,,,1,?,2,?
17,Townhall,"ICYMI: During Kenosha Pit Stop, Biden Rewrote History Regarding the Lightbulb to Pander to Black Voters",['2020/09/07'],286 comments,https://townhall.com/tipsheet/mattvespa/2020/09/07/bidens-kenosha-train-wreck-hey-some-black-guy-actually-invented-the-lightbulb-not-thomas-edison-n2575645,"MAGADeplorable, too",Joey BThe idiot's candidate,2,,,0,0,2,
