,Site Name,Article Name,Article Date,Total Article Comments,Article URL,Username,Comments,Hate?,Flag??,Responding to,Upvotes,Downvotes
0,The Gateway Pundit,Spirit Airlines Flight Attendant Threatens Passenger With Arrest Over Patriotic Fac…,['2020/09'],707 comments,https://www.thegatewaypundit.com/2020/09/spirit-airlines-flight-attendant-threatens-passenger-arrest-patriotic-face-covering-not-legal-according-cdc-video/,disrespekt,Spirchucker Airlines is cattle car level stuffflown them once out of BWI,0,,Doc Farmer☑️ᶜᵒᵛᶠᵉᶠᵉᵈᵉᵖˡᵒʳᵃᵇˡᵉ,1,?
1,The Gateway Pundit,Spirit Airlines Flight Attendant Threatens Passenger With Arrest Over Patriotic Fac…,['2020/09'],707 comments,https://www.thegatewaypundit.com/2020/09/spirit-airlines-flight-attendant-threatens-passenger-arrest-patriotic-face-covering-not-legal-according-cdc-video/,disrespekt,leftist queer,2,,,0,0
2,The Gateway Pundit,PERFECT! Black Lives Matter Mob Blocks NBA Bus with Referees and Media — Flips…,['2020/09'],155 comments,https://www.thegatewaypundit.com/2020/09/perfect-black-lives-matter-mob-blocks-nba-bus-referees-media-flips-off-video/,disrespekt,"did they kill any ""reporters"" tho?  Would help the level of reporting on CNN if they had",1,,curly moe,0,0
3,The Gateway Pundit,PERFECT! Black Lives Matter Mob Blocks NBA Bus with Referees and Media — Flips…,['2020/09'],155 comments,https://www.thegatewaypundit.com/2020/09/perfect-black-lives-matter-mob-blocks-nba-bus-referees-media-flips-off-video/,disrespekt,it this like the bakkabaw jig who was twitting to burn it down till they got near his gated community?,1,,,0,0
4,The Gateway Pundit,ANGRY LEFTIST Smacks 84-Year-Old Female Trump Supporter Across the Face…,['2020/09'],1199 comments,https://www.thegatewaypundit.com/2020/09/angry-leftist-smacks-84-year-old-female-trump-supporter-across-face-trump-rally-aliso-viejo-beats-another-senior-video/,disrespekt,nah it's just black people feeling finally ok to be blackthis is just how they are...rwanda ring any bells?,1,,HalfPint74,1,?
5,The Gateway Pundit,ANGRY LEFTIST Smacks 84-Year-Old Female Trump Supporter Across the Face…,['2020/09'],1199 comments,https://www.thegatewaypundit.com/2020/09/angry-leftist-smacks-84-year-old-female-trump-supporter-across-face-trump-rally-aliso-viejo-beats-another-senior-video/,disrespekt,black people are so much like they are on TVi love diversity,2,?,,0,0
6,The Gateway Pundit,WOW! Actor Jim Caviezel GOES OFF on Milquetoast Christian Leaders and Cance…,['2020/09'],324 comments,https://www.thegatewaypundit.com/2020/09/wow-actor-jim-caviezel-goes-off-milquetoast-christian-leaders-cancel-culture-rolls-eyes-fox-news-host-downplays-stand-faith-video/,disrespekt,the dude has conviction; you have to respect thatanti-christian (((hollywood))) have cost him millions for his roles; he's basically been blacklisted,2,,,5,?
7,The Gateway Pundit,WATCH: DC Woman Attempts to Shame CVS Manager for Calling Police on Black Shop…,['2020/09'],816 comments,https://www.thegatewaypundit.com/2020/09/watch-dc-woman-attempts-shame-cvs-manager-calling-police-black-shoplifters-stunt-backfires-spectacularly/,disrespekt,diversity is awesome!,0,,,1,?
8,The Gateway Pundit,Arizona Teen Ambushes State Trooper with AK-47 in Phoenix Residential Area,['2020/09'],419 comments,https://www.thegatewaypundit.com/2020/09/arizona-teen-ambushes-state-trooper-ak-47-phoenix-residential-area/,disrespekt,thank god for diversity- it's our greatest strength!,0,,,3,?
9,The Gateway Pundit,FBI Director Christopher Wray Says Russia Currently Meddling in Election to ‘Denigr…,['2020/09'],579 comments,https://www.thegatewaypundit.com/2020/09/fbi-director-christopher-wray-says-russia-currently-meddling-election-denigrate-joe-biden-video/,disrespekt,china is never mentioned thothey own all these people,0,,,1,?
10,The Gateway Pundit,Lou Dobbs and Jim Jordan Cheer President Trump's Latest Success - Bringing Back B…,['2020/09'],59 comments,https://www.thegatewaypundit.com/2020/09/lou-dobbs-jim-jordan-cheer-president-trumps-latest-success-bringing-back-big-ten-football/,disrespekt,good for you- sportsball is an anathema,2,,MOSTvettedPeaceMakerInHistory,0,0
11,The Gateway Pundit,Lou Dobbs and Jim Jordan Cheer President Trump's Latest Success - Bringing Back B…,['2020/09'],59 comments,https://www.thegatewaypundit.com/2020/09/lou-dobbs-jim-jordan-cheer-president-trumps-latest-success-bringing-back-big-ten-football/,disrespekt,why would you watch it anyway?they've been anti-white for a LOOOOOOONG time before BLM shoved it in your face,2,?,ricocat1,1,?
12,The Gateway Pundit,Lou Dobbs and Jim Jordan Cheer President Trump's Latest Success - Bringing Back B…,['2020/09'],59 comments,https://www.thegatewaypundit.com/2020/09/lou-dobbs-jim-jordan-cheer-president-trumps-latest-success-bringing-back-big-ten-football/,disrespekt,to hell with sportsball,2,,,4,?
13,The Gateway Pundit,"Mitt Romney Slams Hunter Biden, Burisma Probe: ‘Not Legitimate Role of Governm…",['2020/09'],653 comments,https://www.thegatewaypundit.com/2020/09/mitt-romney-slams-hunter-biden-burisma-probe-not-legitimate-role-government-used-effort-damage-political-opponents/,disrespekt,Mittens is disgustingtrue swamp creature,2,,,2,?
