,Site Name,Article Name,Article Date,Total Article Comments,Article URL,Username,Comments,Responding to,Upvotes,Downvotes,Hate?,
0,The Gateway Pundit,"Lynwood, California City Manager Jose Ometeotl Posts ""Chickens Come Home t…",['2020/09'],291 comments,https://www.thegatewaypundit.com/2020/09/lynwood-california-city-manager-jose-ometeotl-posts-chickens-come-home-roost-2-young-deputies-shot-head-ambush-attack/,mike radant,We need to nuke Mexico City as a start!,,2,?,1,
1,The Gateway Pundit,22-Year-Old Who Had His Arm Partially Blown Off After Pointing a Gun at 17-Yea…,['2020/09/22'],1178 comments,https://www.thegatewaypundit.com/2020/09/22-year-old-arm-partially-blown-off-pointing-pistol-17-year-old-kyle-rittenhouses-head-cries-victim-cnn/,mike radant,HA HA! -The Bully Kid From The Simpsons,,1,?,0,
2,The Gateway Pundit,22-Year-Old Who Had His Arm Partially Blown Off After Pointing a Gun at 17-Yea…,['2020/09/22'],1178 comments,https://www.thegatewaypundit.com/2020/09/22-year-old-arm-partially-blown-off-pointing-pistol-17-year-old-kyle-rittenhouses-head-cries-victim-cnn/,mike radant,Too bad this idiot is still breathing!,,3,?,2,
3,The Gateway Pundit,Latinos For Biden Parade in Las Vegas This Weekend a Total Flop - Only a 'Handful'…,['2020/09'],183 comments,https://www.thegatewaypundit.com/2020/09/latinos-biden-parade-las-vegas-weekend-total-flop-handful-supporters-show-video/,mike radant,"When my grandfather was alive, he voted the straight Republican ticket. Now that he's dead, he votes the straight Democrat ticket.",,3,?,2,
4,The Gateway Pundit,De Blasio Cancels Macy's Thanksgiving Day Parade -- Killing NYC Economy Further,['2020/09'],341 comments,https://www.thegatewaypundit.com/2020/09/de-blasio-cancels-macys-thanksgiving-day-parade-killing-nyc-economy/,mike radant,I'm surprised someone hasn't capped that sorry b@stard yet!,,2,?,2,
5,The Gateway Pundit,"Race Agitator Al Sharpton To MSNBC: ""I suspect"" LA cop shooter was ""planted"" t…",['2020/09'],253 comments,https://www.thegatewaypundit.com/2020/09/race-agitator-al-sharpton-msnbc-suspect-la-cop-shooter-planted-make-blm-look-bad-video/,mike radant,"Doesn't the ape owe something like $5 million in back taxes? If he wasn't an insider race agitator, he'd be in prison!",,0,0,1,
6,The Gateway Pundit,Lancaster Black Lives Matter Militant Calls for People to Shoot Cops After Rioters Ar…,['2020/09'],443 comments,https://www.thegatewaypundit.com/2020/09/lancaster-black-lives-matter-militant-calls-people-shoot-cops-rioters-shot-rubber-bullets-video/,mike radant,"2 hours agoLooking at the graphic of the Black woman telling the White man that Whites don't run America any longer, consider . . .1. Name one predominantly Black-run city that is prosperous. 2. Name one predominantly Black-run nation that is prosperous. 3. Name one predominantly Black-run public school system that is a model for educational excellence.4. Name one predominantly Black-run city whose criminal statistics aren't over the top nationally.5. Name one predominantly Black-run major metro that is not a Killing Field.6. Name one predominantly Black-run university that is internationally acclaimed as a font of research, and significant contributions to Humanity.You get the idea  . . . and that idea explains why NYC will exist as a geographic location, but will never again exist as a focal point for intellectual, creative, or any type of Excellence again",,17,?,1,
7,The Gateway Pundit,"America-hater Ilhan Omar Says Biden Will ""Be Responsive"" to her Policies -- Then C…",['2020/09'],219 comments,https://www.thegatewaypundit.com/2020/09/america-hater-ilhan-omar-says-biden-will-responsive-policies-calls-dismantling-police-video/,mike radant,"2 hours agoTo All:Looking at the graphic of the Black woman telling the White man that Whites don't run America any longer, consider . . .1. Name one predominantly Black-run city that is prosperous.2. Name one predominantly Black-run nation that is prosperous.3. Name one predominantly Black-run public school system that is a model for educational excellence.4. Name one predominantly Black-run city whose criminal statistics aren't over the top nationally.5. Name one predominantly Black-run major metro that is not a Killing Field.6. Name one predominantly Black-run university that is internationally acclaimed as a font of research, and significant contributions to Humanity.You get the idea  . . . and that idea explains why NYC will exist as a geographic location, but will never again exist as a focal point for intellectual, creative, or any type of Excellence agai",,1,?,1,
8,The Gateway Pundit,"America-hater Ilhan Omar Says Biden Will ""Be Responsive"" to her Policies -- Then C…",['2020/09'],219 comments,https://www.thegatewaypundit.com/2020/09/america-hater-ilhan-omar-says-biden-will-responsive-policies-calls-dismantling-police-video/,mike radant,"No, we need an all out race war to exterminate this disgusting subhuman race from this country!",Guest,0,0,1,
9,The Gateway Pundit,"America-hater Ilhan Omar Says Biden Will ""Be Responsive"" to her Policies -- Then C…",['2020/09'],219 comments,https://www.thegatewaypundit.com/2020/09/america-hater-ilhan-omar-says-biden-will-responsive-policies-calls-dismantling-police-video/,mike radant,"When the race war starts, she needs to be one of the first ones hanging by her neck from a tree!",,0,0,1,
10,The Gateway Pundit,"Lancaster, PA: Black Lives Matter Crowd Forming Following Officer-Involved Sho…",['2020/09'],395 comments,https://www.thegatewaypundit.com/2020/09/lancaster-pa-black-lives-matter-crowd-forming-following-officer-involved-shooting-video/,mike radant,"No, it is the race itself that is incompatible with civilization, Our grandfathers were correct when they lynched them at the slightest sign of monkeyshines!",Fargo007,1,?,1,
11,The Gateway Pundit,"Lancaster, PA: Black Lives Matter Crowd Forming Following Officer-Involved Sho…",['2020/09'],395 comments,https://www.thegatewaypundit.com/2020/09/lancaster-pa-black-lives-matter-crowd-forming-following-officer-involved-shooting-video/,mike radant,The USA needs an all out race war. Name one successful black city or country! Blacks are useless eaters that deserve extermination!,,0,0,1,
12,The Gateway Pundit,VIDEO: Black Woman Refuses To Move For White Flight Attendant…Shouts In Face…,['2020/09'],2072 comments,https://www.thegatewaypundit.com/2020/09/video-black-woman-refuses-move-white-flight-attendantshouts-face-passenger-wake-2020-dont-white-privilege/,mike radant,"That's how the majority are, considering the problems, crimes, destroyed cities, etc... that they cause, we really do need an all out race war to remove them!",cjae,0,0,1,
13,The Gateway Pundit,VIDEO: Black Woman Refuses To Move For White Flight Attendant…Shouts In Face…,['2020/09'],2072 comments,https://www.thegatewaypundit.com/2020/09/video-black-woman-refuses-move-white-flight-attendantshouts-face-passenger-wake-2020-dont-white-privilege/,mike radant,I look forward to the coming race war. We need to wipe the black plague from the USA once and for all!,,2,?,1,
14,The Gateway Pundit,"Chiefs Fans Boo as Players From Both Teams Link Arms in ""Moment of Unity"" a…",['2020/09'],549 comments,https://www.thegatewaypundit.com/2020/09/chiefs-fans-boo-players-teams-link-arms-moment-unity-call-social-justice-game-starts-video/,mike radant,"Hopefully, some nlggers rape and kill your mom!",Pollywannacracker,0,0,1,
15,The Conservative Brief,Left-wing Activists Planning to “Shut Things Down” if Trump Wins Re-election,[],182 comments,https://www.theconservativebrief.com/left-wing-activists-planning-to-shut-things-down-if-trump-wins-re-election/,mike radant,We need to start rounding up BLM and Antifa and putting them in FEMA Prison Work Camps!,,0,0,2,
16,The Gateway Pundit,Federal Judges Block President Trump’s Effort to Exclude Illegal Aliens From Cens…,['2020/09'],361 comments,https://www.thegatewaypundit.com/2020/09/federal-judges-block-president-trumps-effort-exclude-illegal-aliens-census-count-purpose-congressional-representation/,mike radant,"We don't need elections, we need assassinations!",,2,?,1,
17,The Gateway Pundit,Antifa Radical Arrested for Arson in Washington State -- Was Caught on High…,['2020/09'],240 comments,https://www.thegatewaypundit.com/2020/09/antifa-radical-arrested-arson-washington-state-caught-highway-setting-fire-lighter/,mike radant,Burn this guy alive!,,2,?,1,
18,The Gateway Pundit,"Canada Imprisoning ‘Uncooperative’ Citizens At Secret COVID-19 Facility, Rep…",['2020/09'],342 comments,https://www.thegatewaypundit.com/2020/09/canada-imprisoning-uncooperative-citizens-secret-covid-19-facility-report-says/,mike radant,The USA needs to do this to BLM and Antifa terrorists!,,1,?,2,
19,The Gateway Pundit,"Breaking: AG Bill Barr Says ""There Could Be"" More Indictments in the Ongoing Du…",['2020/09'],490 comments,https://www.thegatewaypundit.com/2020/09/breaking-ag-bill-barr-says-indictments-ongoing-durham-probe/,mike radant,I'm going to find out who you are!,Pollywannacracker,0,0,2,
20,The Gateway Pundit,Portland Black Lives Matter: 'A Black Person's Life Matters More Than a White…,['2020/08'],151 comments,https://www.thegatewaypundit.com/2020/08/portland-black-lives-matter-black-persons-life-matters-white-persons-right-now-video/,mike radant,I'm going to find out who you are and where you live!,Pollywannacracker,0,0,2,
21,The Gateway Pundit,Portland Black Lives Matter: 'A Black Person's Life Matters More Than a White…,['2020/08'],151 comments,https://www.thegatewaypundit.com/2020/08/portland-black-lives-matter-black-persons-life-matters-white-persons-right-now-video/,mike radant,"Polly as in parrot stupid, let me find out who you are!",Pollywannacracker,0,0,2,
22,Caldron Pool,Antiracist Baby: New Book Teaches Babies To ‘Confess’ Their Racism And Spot Whit…,[],13 comments,https://caldronpool.com/antiracist-baby-new-book-teaches-babies-to-confess-their-racism-and-spot-white-privilege/,mike radant,"The sooner the race war starts, the better!",,0,0,1,
