,Site Name,Article Name,Article Date,Total Article Comments,Article URL,Username,Comments,Hate?,Flag ???,Responding to,Upvotes,Downvotes
0,Twitchy,‘Peak 2020 journalism’: The Hill’s report about Trump crowd in NC ‘gathered with…,['2020/09/08'],139 comments,https://twitchy.com/dougp-3137/2020/09/08/peak-2020-journalism-the-hills-report-about-trump-crowd-in-nc-gathered-without-masks-doesnt-match-up-with-their-accompanying-photo/,NDPACKER,"the hill is just one more failing, sniveling, lying, liberal communist propagandist media outlet.  Ignore it.",2,,Russ,2,?
1,Twitchy,EA Sports is pleased to welcome illustrious ‘top free agent’ Colin Kaepernick to the…,['2020/09/08'],198 comments,https://twitchy.com/sarahd-313035/2020/09/08/ea-sports-is-pleased-to-welcome-illustrious-top-free-agent-colin-kaepernick-to-the-madden-nfl-21-universe/,NDPACKER,BOYCOTT EA Sports!,0,,Squid_Hunt,2,?
2,Twitchy,EA Sports is pleased to welcome illustrious ‘top free agent’ Colin Kaepernick to the…,['2020/09/08'],198 comments,https://twitchy.com/sarahd-313035/2020/09/08/ea-sports-is-pleased-to-welcome-illustrious-top-free-agent-colin-kaepernick-to-the-madden-nfl-21-universe/,NDPACKER,"22754/12453 is all you need to know to report and block this sniveling, lying, liberal loser communist propagandist.",2,,Mathew Matthews,2,?
3,The Daily Wire,"REPORT: Left-Leaning Groups Preparing For ‘Mass Unrest,’ ‘Right-Wing Violence’ I…",[],614 comments,https://www.dailywire.com/news/report-left-leaning-groups-preparing-for-mass-unrest-right-wing-violence-if-biden-wins-election,NDPACKER,They should be more worried about what happens if biden fraudulently steals the election.,0,,Cyrus J.,3,?
4,Twitchy,Harpies on The View try cutting Sarah Huckabee Sanders off when talking abo…,['2020/09/08'],93 comments,https://twitchy.com/samj-3930/2020/09/08/harpies-on-the-view-try-cutting-sarah-huckabee-sanders-off-when-talking-about-violence-in-dem-cities-but-she-aint-havin-any-of-it-watch/,NDPACKER,Liberals love watching people that hate America and all Americans.Thank God for Sarah Huckabee Sanders!,0,?,Mary Mommy Happy 2019!,8,?
5,Twitchy,‘I smell a new lawsuit’: ACLU troll warns that college freshman Nick Sandmann co…,['2020/09/08'],272 comments,https://twitchy.com/sarahd-313035/2020/09/08/i-smell-a-new-lawsuit-aclu-troll-warns-that-college-freshman-nick-sandmann-could-be-dangerous-college-prof-agrees-and-will-take-action-if-necessary/,NDPACKER,They used to teach critical thinking but have not for decades.,0,,divingpetrel,13,?
6,The Daily Wire,"WATCH: BLM Marcher Seizes Elderly Couple’s Beer, Chugs It Down",[],244 comments,https://www.dailywire.com/news/watch-blm-marcher-seizes-elderly-couples-beer-chugs-it-down,NDPACKER,"She is just a fat monkey being a racist, hateful monkey.",2,,liberalismmakesmequeasy,7,?
7,The Daily Wire,American Airlines Will Permit Flight Attendants To Wear BLM Pins. Some Emp…,[],1175 comments,https://www.dailywire.com/news/american-airlines-will-permit-flight-attendants-to-wear-blm-pins-some-employees-are-furious,NDPACKER,BOYCOTT THE ANTI-AMERICAN AMERICAN AIRLINES!,0,?,wolftxusa,4,?
8,Twitchy,Jemele Hill plans to get back at country singer Travis Tritt for blocking her by lyi…,['2020/09/07'],199 comments,https://twitchy.com/sarahd-313035/2020/09/07/jemele-hill-plans-to-get-back-at-country-singer-travis-tritt-for-blocking-her-by-lying-about-him-to-make-him-seem-like-a-huge-ahole/,NDPACKER,Jemele Hill is the most liberal racist monkey on Earth.,2,,John Douglas,15,1
9,Twitchy,"CNN gets snarky with Trump’s comments on canceled visit to French cemetery, an…",['2020/09/07'],46 comments,https://twitchy.com/sarahd-313035/2020/09/07/cnn-gets-snarky-with-trumps-comments-on-canceled-visit-to-french-cemetery-and-brian-stelter-apparently-approves-screenshot/,NDPACKER,"Brian Stelter:  Still bald.  Still fat.  Still stupid.  Still a sniveling, lying, liberal communist propagandist.",2,,john53,8,?
