,Site Name,Article Name,Article Date,Total Article Comments,Article URL,Username,Comments,Responding to,Upvotes,Downvotes,Comments,Misinformation?,Ordinary/Hate/Offensive?,"Political vs other, insinuations, "
0,RedState.com - Conservative Blog & Conservative News Source,Instigators of the Occupy Movement Now Calling for ‘Siege’ of the White House,['2020/08/09'],40 comments,https://www.redstate.com/nick-arama/2020/08/09/instigators-of-the-occupy-movement-now-calling-for-siege-of-the-white-house/,patriot45,This will end up going hot and the liberals are not going to like the outcome.  I really do not want confrontation but i believe it is our only alternative since these globalist pawns are fools being used as cannon fodder for the right wing patriots.,,2,?,This will end up going hot and the liberals are not going to like the outcome.  I really do not want confrontation but i believe it is our only alternative since these globalist pawns are fools being used as cannon fodder for the right wing patriots.,1,2,
1,RedState.com - Conservative Blog & Conservative News Source,"BLM Members Intimidate Diners, Fight with Residents, Scream at Georgetown H…",['2020/08/09'],63 comments,https://www.redstate.com/nick-arama/2020/08/09/blm-members-intimidate-diners-fight-with-residents-scream-at-georgetown-homes-at-midnight/,patriot45,Shoot em Lizbeth shoot em!,,0,0,Shoot em Lizbeth shoot em!,0,1,
2,RedState.com - Conservative Blog & Conservative News Source,Letitia James Attack on the NRA May Motivate More to “Escape from New York”,['2020/08/09'],15 comments,https://www.redstate.com/dennis_santiago/2020/08/09/letitia-james-attack-on-the-nra-may-motivate-more-to-%e2%80%9cescape-from-new-york%e2%80%9d/,patriot45,"They have only intensified the average law abiding gun owner's will to defy the liberal progressive liberals and their globalists backed agenda to disarm America.  We will not be disarmed and will fight to keep our rights no matter the opponent or political affiliation.  This will not end well and seems to be building momentum from the left, it would seem confrontation is close.",,3,?,"They have only intensified the average law abiding gun owner's will to defy the liberal progressive liberals and their globalists backed agenda to disarm America.  We will not be disarmed and will fight to keep our rights no matter the opponent or political affiliation.  This will not end well and seems to be building momentum from the left, it would seem confrontation is close.",1,2,
3,RedState.com - Conservative Blog & Conservative News Source,"Portland Antifa Sets Fire to Police Building, Then Threaten to Burn Apartment Buildi…",['2020/08/09'],31 comments,https://www.redstate.com/nick-arama/2020/08/09/portland-antifa-sets-fire-to-police-building-then-threaten-to-burn-apartment-building-down-with-people-inside/,patriot45,"ok , time to start shooting these idiots or let them burn down and kill people w/o any consequences.  If Portland residents are ok with it i am ok with it so let them burn it down.",,0,0,"ok , time to start shooting these idiots or let them burn down and kill people w/o any consequences.  If Portland residents are ok with it i am ok with it so let them burn it down.",1,1,
4,RedState.com - Conservative Blog & Conservative News Source,It Can Get Worse than Ted Wheeler in Portland (and Across the Country),['2020/08/08'],25 comments,https://www.redstate.com/nick-arama/2020/08/08/it-can-get-worse-than-ted-wheeler-in-portland-and-across-the-country/,patriot45,"Just make sure it stays in the cities since this leadership is what they voted for, if it leaves the cities the average citizen whether democrat or republican won't tolerate being stupid around the families and homes.  Just shoot em Lizbeth!",,1,?,"Just make sure it stays in the cities since this leadership is what they voted for, if it leaves the cities the average citizen whether democrat or republican won't tolerate being stupid around the families and homes.  Just shoot em Lizbeth!",1,1,
5,RedState.com - Conservative Blog & Conservative News Source,Coronavirus Sacks the NFL — 66 Players Decide to Opt Out of Upcoming Season,['2020/08/07'],37 comments,https://www.redstate.com/bradslager/2020/08/07/891543/,patriot45,"Quit giving these traitors any coverage, they are of no consequence to this country.  their entertainment factor has slipped to minus territory and their American flag antics drop their status as citizens to less than that.  IN OTHER WORDS THEY AIN'T SHIT!",,1,?,"Quit giving these traitors any coverage, they are of no consequence to this country.  their entertainment factor has slipped to minus territory and their American flag antics drop their status as citizens to less than that.  IN OTHER WORDS THEY AIN'T SHIT!",1,2,
6,RedState.com - Conservative Blog & Conservative News Source,"Portland Antifa Returns to Home of Woman They Attacked, Neighbors Come…",['2020/08/07'],72 comments,https://www.redstate.com/nick-arama/2020/08/07/portland-antifa-returns-to-home-of-woman-they-attacked-neighbors-come-out-to-defend-her/,patriot45,good steel chain and cinder blocks are very nice anchors.,Reality2020,1,?,good steel chain and cinder blocks are very nice anchors.,0,0,
7,RedState.com - Conservative Blog & Conservative News Source,"Portland Antifa Returns to Home of Woman They Attacked, Neighbors Come…",['2020/08/07'],72 comments,https://www.redstate.com/nick-arama/2020/08/07/portland-antifa-returns-to-home-of-woman-they-attacked-neighbors-come-out-to-defend-her/,patriot45,"Come to my neighborhood in rural western NC and you get shot and dumped in a ""holler"" for the coyotes.",,4,?,"Come to my neighborhood in rural western NC and you get shot and dumped in a ""holler"" for the coyotes.",0,1,
8,RedState.com - Conservative Blog & Conservative News Source,"Portland Antifa Returns to Home of Woman They Attacked, Neighbors Come…",['2020/08/07'],72 comments,https://www.redstate.com/nick-arama/2020/08/07/portland-antifa-returns-to-home-of-woman-they-attacked-neighbors-come-out-to-defend-her/,patriot45,"unfortunately, this is probably the only way to stop it and restore this country to pre-obamanation fundamental change.",HadsDad,2,?,"unfortunately, this is probably the only way to stop it and restore this country to pre-obamanation fundamental change.",0,0,
9,RedState.com - Conservative Blog & Conservative News Source,"Portland Antifa Returns to Home of Woman They Attacked, Neighbors Come…",['2020/08/07'],72 comments,https://www.redstate.com/nick-arama/2020/08/07/portland-antifa-returns-to-home-of-woman-they-attacked-neighbors-come-out-to-defend-her/,patriot45,shoot em Lizbeth shoot em!,,0,0,shoot em Lizbeth shoot em!,0,1,
10,RedState.com - Conservative Blog & Conservative News Source,Opinion: Trump Sets a Trap for Pelosi and Schumer,['2020/08/07'],102 comments,https://www.redstate.com/darth641/2020/08/07/opinion-trump-sets-a-trap-for-pelosi-and-schumer/,patriot45,"Why can't our leaders compromise and do what is right for our country,it is a shame that our political system has come to this and politics takes precedent over the good of the country.  We need a reset and clean up the corrupt DC political machine due to the FACT when we allow lobbyists with millions of dollars of bribes in their hands to influence our elected officials then We The People are the last thing these ""leaders"" think about.  This should be considered a criminal act and pass a law that is a federal offense to openly bribe elected officials but due to the fact we no longer have a honest system in tune with the peoples needs this system should be dismantled and streamlined to remove these ""lobbyist"" permanently.",,5,?,"Why can't our leaders compromise and do what is right for our country,it is a shame that our political system has come to this and politics takes precedent over the good of the country.  We need a reset and clean up the corrupt DC political machine due to the FACT when we allow lobbyists with millions of dollars of bribes in their hands to influence our elected officials then We The People are the last thing these ""leaders"" think about.  This should be considered a criminal act and pass a law that is a federal offense to openly bribe elected officials but due to the fact we no longer have a honest system in tune with the peoples needs this system should be dismantled and streamlined to remove these ""lobbyist"" permanently.",0,0,
11,RedState.com - Conservative Blog & Conservative News Source,WATCH the Press Conference–Will New York Attorney General Letitia James Indi…,['2020/08/06'],49 comments,https://www.redstate.com/redstate-guest-editorial/2020/08/06/watch-new-york-attorney-general-letitia-james-press-conference/,patriot45,"I suppose they have found some info they bought and paid for to indict this POTUS on another BS charge.  I can not even imagine the progress we as a country could have made if these worthless democrats had given a small amount of support to Trumps policies, but instead we have seen 4 years of the most unbelievable breakdown of common sense and partisan politics ever. Evidently this bank which is in financial woes had pressure from the Soros/Gates/Bloomberg gang to make up some lies and evidence to hurt Trump right before the election.  These people know they will lose this election so now we see the build up to a confrontation between these worthless POS dems and their proxy armies of BLM/Antifa against America and the patriots, lets get this deal over with.",,2,?,"I suppose they have found some info they bought and paid for to indict this POTUS on another BS charge.  I can not even imagine the progress we as a country could have made if these worthless democrats had given a small amount of support to Trumps policies, but instead we have seen 4 years of the most unbelievable breakdown of common sense and partisan politics ever. Evidently this bank which is in financial woes had pressure from the Soros/Gates/Bloomberg gang to make up some lies and evidence to hurt Trump right before the election.  These people know they will lose this election so now we see the build up to a confrontation between these worthless POS dems and their proxy armies of BLM/Antifa against America and the patriots, lets get this deal over with.",1,2,
12,RedState.com - Conservative Blog & Conservative News Source,With a Drop In Ratings Have Professional Sports Driven Away Hungry Fans With O…,['2020/08/04'],71 comments,https://www.redstate.com/bradslager/2020/08/04/with-a-drop-in-ratings-have-professional-sports-driven-away-hungry-fans-with-overly-woke-displays/,patriot45,amen.,Chuck M Lowe,0,0,amen.,0,0,
13,RedState.com - Conservative Blog & Conservative News Source,With a Drop In Ratings Have Professional Sports Driven Away Hungry Fans With O…,['2020/08/04'],71 comments,https://www.redstate.com/bradslager/2020/08/04/with-a-drop-in-ratings-have-professional-sports-driven-away-hungry-fans-with-overly-woke-displays/,patriot45,THANKS,Southerntester,0,0,THANKS,0,0,
14,RedState.com - Conservative Blog & Conservative News Source,With a Drop In Ratings Have Professional Sports Driven Away Hungry Fans With O…,['2020/08/04'],71 comments,https://www.redstate.com/bradslager/2020/08/04/with-a-drop-in-ratings-have-professional-sports-driven-away-hungry-fans-with-overly-woke-displays/,patriot45,Here's to hoping they all go bankrupt for degrading our Flag and the heroes who gave these POS players and owners the opportunity by giving their lives.  TO HELL WITH THEM ALL!,,2,1,Here's to hoping they all go bankrupt for degrading our Flag and the heroes who gave these POS players and owners the opportunity by giving their lives.  TO HELL WITH THEM ALL!,0,2,
